t,t_div_to_red_on,t_div_to_red_off,t_red_off_t_div,t_red,t_div_to_green_on,t_green_on_t_div,t_green,t_gap,prop_not_green,t_RON_t_GON,t_RON_tdiv,id,start,redOn,redOff,greenOn,greenOff,end,t_red_mid,t_green_mid,t_mid,t_green_off_t_div,t_div_to_red_on_mid,t_green_off_t_div_mid,t_green_on_t_div_mid,t_red_off_t_div_mid,t_gap_mid,t_div_to_red_off_mid,t_div_to_green_on_mid,t_RON_t_GON_mid,t_RON_tdiv_mid,prop_not_green_mid,type,div,n,well,cellnum,daughter,sister,position,row,col
11.833357,1.833337,4.666676,7.166681,2.833339,2.833339,9.000018,8.833351,-1.833337,0.316901,1.000002,10.000020,000150,27.500055,29.333392,32.166731,30.333394,39.166745,39.333412,3.250006,7.250014,5.916678,0.166667,0.916669,11.750023,7.333348,8.250017,3.750007,2.333338,1.416669,2.333338,6.833347,1.875004,D,1.000000,71.000000,2.000000,15.000000,76.00000077.000000,78.000000,3.000000,1.000000,5.000000
12.833359,1.833337,4.666676,8.166683,2.833339,2.833339,10.000020,10.000020,-1.833337,0.292208,1.000002,11.000022,000151,27.500055,29.333392,32.166731,30.333394,40.333414,40.333414,3.250006,7.833349,6.416680,0.000000,0.916669,12.833359,7.833349,8.750017,3.750007,2.333338,1.416669,2.333338,7.333348,1.875004,D,1.000000,77.000000,2.000000,15.000000,79.00000080.000000,75.000000,3.000000,1.000000,5.000000
13.833361,2.666672,6.833347,7.000014,4.166675,5.166677,8.666684,8.666684,-1.666670,0.433735,2.500005,11.166689,000180,24.833383,27.500055,31.666730,30.000060,38.666744,38.666744,4.750010,9.500019,6.916681,0.000000,1.333336,13.833361,9.500019,10.333354,6.000012,3.416673,2.583339,3.916675,8.250016,3.000006,D,1.000000,83.000000,2.000000,18.000000,90.00000091.000000,92.000000,3.000000,3.000000,5.000000
14.166695,3.166673,7.000014,7.166681,3.833341,5.833345,8.333350,8.166683,-1.166669,0.452941,2.666672,11.000022,000181,24.833383,28.000056,31.833397,30.666728,38.833411,39.000078,5.083344,9.916687,7.083348,0.166667,1.583336,14.083362,10.000020,10.583355,6.416680,3.500007,2.916673,4.500009,8.666684,3.208340,D,1.000000,85.000000,2.000000,18.000000,93.00000094.000000,89.000000,3.000000,3.000000,5.000000
13.000026,0.666668,8.166683,4.833343,7.500015,2.000004,11.000022,11.000022,-6.166679,0.391026,1.333336,12.333358,000191,26.833387,27.500055,35.000070,28.833391,39.833413,39.833413,4.416676,7.500015,6.500013,0.000000,0.333334,0.000000,7.500015,10.583354,5.083343,4.083341,1.000002,1.333336,6.833347,2.541672,D,1.000000,78.000000,2.000000,19.000000,96.00000097.000000,98.000000,3.000000,3.000000,6.000000
14.166695,0.500001,8.500017,5.666678,8.000016,2.000004,12.166691,12.166691,-6.500013,0.370588,1.500003,13.666694,000190,26.833387,27.333388,35.333404,28.833391,41.000082,41.000082,4.500009,8.083349,7.083347,0.000000,0.250000,0.000000,8.083349,11.333356,5.250011,4.250008,1.000002,1.250003,7.333348,2.625005,D,1.000000,85.000000,2.000000,19.000000,99.000000100.000000,95.000000,3.000000,3.000000,6.000000
10.500021,1.833337,3.333340,7.166681,1.500003,3.500007,7.000014,7.000014,0.166667,0.325397,1.666670,8.666684,000200,29.000058,30.833395,32.333398,32.500065,39.500079,39.500079,2.583339,7.000014,5.250010,0.000000,0.916669,10.500021,7.000014,6.916680,3.416673,1.666670,1.750003,2.666672,6.166679,1.708337,D,1.000000,63.000000,2.000000,20.000000,102.000000103.000000,104.000000,3.000000,3.000000,7.000000
10.500021,2.500005,3.333340,7.166681,0.833335,4.000008,6.500013,6.500013,0.666668,0.349206,1.500003,8.000016,000201,29.000058,31.500063,32.333398,33.000066,39.500079,39.500079,2.916672,7.250014,5.250010,0.000000,1.250003,10.500021,7.250014,6.916680,3.666674,1.666670,2.000004,3.250006,6.500013,1.833337,D,1.000000,63.000000,2.000000,20.000000,105.000000106.000000,101.000000,3.000000,3.000000,7.000000
13.166693,1.333336,6.166679,7.000014,4.833343,2.166671,11.000022,11.000022,-4.000008,0.316456,0.833335,11.833357,000250,27.833389,29.166725,34.000068,30.000060,41.000082,41.000082,3.750007,7.666682,6.583346,0.000000,0.666668,13.166693,7.666682,9.666686,4.166675,3.083339,1.083336,1.750004,7.250015,2.083338,D,1.000000,79.000000,2.000000,25.000000,120.000000121.000000,122.000000,5.000000,3.000000,2.000000
13.333360,1.333336,5.333344,8.000016,4.000008,3.000006,10.333354,10.333354,-2.333338,0.312500,1.666670,12.000024,000251,27.833389,29.166725,33.166733,30.833395,41.166749,41.166749,3.333340,8.166683,6.666680,0.000000,0.666668,13.333360,8.166683,9.333352,4.166675,2.666672,1.500003,2.166671,7.333348,2.083338,D,1.000000,80.000000,2.000000,25.000000,123.000000124.000000,119.000000,5.000000,3.000000,2.000000
9.666686,1.833337,3.833341,5.833345,2.000004,2.666672,7.000014,6.833347,-1.166669,0.336207,0.833335,7.833349,000260,24.833383,26.666720,28.666724,27.500055,34.333402,34.500069,2.833339,6.083346,4.833343,0.166667,0.916669,9.583353,6.166679,6.750014,3.250007,1.916670,1.333336,2.250004,5.750012,1.625003,D,1.000000,58.000000,2.000000,26.000000,126.000000127.000000,128.000000,5.000000,3.000000,5.000000
